state_of_health,state_of_charge,cycle_count,current_amps,temperature_cell,charge_rate_kw,is_charging,internal_resistance,action_voltage,action_current,dT_dt,dV_dt,thermal_stress_index,aging_indicator,charging_efficiency,charging_time,cycle_degradation,balancing_time
64.48,72.05,3496,108.59,39.61,78.84,1,0.0432,317.28,138.06,-0.398,-0.0198,0.525,0.999,0.825,29.36,0.874,26.66
66.44,27.67,3474,163.21,40.38,45.67,1,0.0328,413.8,22.91,0.579,0.0275,0.604,0.993,0.801,108.14,0.8685,2.03
69.74,67.66,2949,205.92,31.08,118.2,0,0.048,303.81,53.07,0.265,0.0344,0.393,0.843,0.978,102.38,0.7372,10.43
65.81,88.59,2340,164.45,63.54,143.29,0,0.0482,361.59,214.99,0.251,-0.0137,0.687,0.669,0.91,142.73,0.585,10.56
80.54,49.09,1139,206.48,59.49,109.86,0,0.0297,368.0,214.31,-0.12,0.0484,0.597,0.325,0.98,48.45,0.2848,25.75
82.87,61.81,1361,249.99,46.24,118.96,0,0.0286,389.49,222.22,-0.234,-0.0447,0.52,0.389,0.95,76.08,0.3402,1.21
88.81,73.17,682,129.53,45.92,134.86,1,0.0271,303.89,166.94,0.117,0.023,0.471,0.195,0.987,53.35,0.1705,15.2
92.44,52.23,112,211.74,41.47,136.14,1,0.0383,324.46,241.23,0.333,0.0001,0.516,0.032,0.98,21.34,0.028,28.19
83.34,23.69,281,64.44,62.94,60.39,1,0.0432,416.75,70.65,0.785,-0.0232,0.895,0.08,0.869,165.74,0.0703,29.7
84.55,98.42,1111,188.02,48.13,76.65,0,0.0263,323.99,227.55,1.132,0.0328,0.897,0.317,0.88,142.02,0.2777,3.12
70.65,86.55,3394,175.98,40.32,8.91,0,0.0153,398.5,176.32,-0.134,-0.0308,0.426,0.97,0.819,55.06,0.8485,14.64
97.14,23.56,270,159.84,32.96,129.92,0,0.0174,377.05,208.09,-0.061,-0.0083,0.329,0.077,0.925,147.05,0.0675,1.21
89.16,11.68,675,228.21,54.78,89.6,0,0.0116,378.8,168.27,-0.161,-0.0497,0.57,0.193,0.938,50.71,0.1688,28.67
77.73,67.39,1907,87.35,55.96,136.12,0,0.016,379.49,38.29,0.218,0.0201,0.604,0.545,0.825,57.32,0.4768,16.36
69.62,65.35,3184,249.88,27.39,108.45,0,0.0372,382.21,90.35,-0.25,-0.0303,0.353,0.91,0.844,153.31,0.796,0.54
73.65,78.98,2732,179.89,23.74,10.6,1,0.0362,304.04,115.76,1.461,-0.0035,0.804,0.781,0.915,70.61,0.683,22.45
90.32,98.88,254,79.79,60.2,31.15,0,0.0138,390.24,158.94,0.323,-0.0281,0.685,0.073,0.891,124.71,0.0635,25.2
81.68,60.22,2090,211.6,25.3,115.2,0,0.0215,449.83,228.7,1.018,0.0322,0.641,0.597,0.901,24.77,0.5225,9.64
85.94,76.85,1373,108.46,42.75,113.43,1,0.0161,445.3,102.02,0.111,0.0192,0.439,0.392,0.822,68.06,0.3432,26.09
75.41,42.83,2323,141.1,56.7,143.59,0,0.012,330.28,61.99,1.209,-0.0238,1.007,0.664,0.967,130.28,0.5807,28.14
76.17,83.98,2309,232.85,53.69,94.91,1,0.0136,439.59,165.25,-0.118,0.004,0.543,0.66,0.989,102.03,0.5773,24.4
76.34,32.3,2270,160.55,35.16,42.78,0,0.0404,365.63,95.38,-0.331,-0.0223,0.457,0.649,0.877,21.8,0.5675,6.31
74.11,88.95,3432,131.44,34.36,106.48,0,0.0068,377.24,225.34,0.448,0.013,0.496,0.981,0.974,21.42,0.858,24.48
88.97,86.66,776,30.78,35.02,85.44,0,0.0378,413.88,128.05,0.638,-0.0371,0.578,0.222,0.914,143.05,0.194,23.74
76.83,96.21,2807,70.22,31.39,73.26,0,0.0169,379.55,215.92,1.353,0.031,0.831,0.802,0.887,75.01,0.7017,27.16
81.78,99.9,1506,68.74,51.56,102.74,0,0.0202,414.74,226.07,0.113,-0.032,0.521,0.43,0.946,109.31,0.3765,23.54
74.41,14.61,3057,201.14,43.45,117.88,1,0.0064,418.54,115.43,0.508,0.0015,0.604,0.873,0.895,102.78,0.7642,13.07
67.55,83.29,3329,104.01,36.7,75.79,0,0.0406,404.31,160.07,-0.265,-0.0392,0.445,0.951,0.938,58.04,0.8323,9.67
88.53,68.59,526,126.09,51.48,77.21,0,0.0254,302.63,89.98,-0.485,0.0159,0.669,0.15,0.922,118.25,0.1315,18.98
94.05,30.59,285,234.95,34.16,84.17,0,0.0313,335.46,193.46,0.468,0.0317,0.503,0.081,0.863,59.42,0.0713,0.03
67.69,98.85,2462,67.56,63.36,50.53,1,0.0349,321.36,159.94,0.73,-0.0015,0.877,0.703,0.957,30.1,0.6155,17.23
66.62,69.14,3437,237.04,30.33,5.66,0,0.0438,399.77,228.98,0.55,0.0065,0.5,0.982,0.96,80.93,0.8593,3.43
63.92,46.32,2979,217.14,51.11,74.99,1,0.0495,399.3,218.61,1.028,-0.0093,0.883,0.851,0.827,89.32,0.7448,26.16
86.08,89.77,818,215.8,63.73,48.11,0,0.0076,428.69,198.73,0.72,0.0218,0.876,0.234,0.922,172.19,0.2045,29.99
90.02,70.9,1104,98.4,20.48,75.0,0,0.0189,339.52,24.9,0.429,0.0122,0.361,0.315,0.878,53.99,0.276,25.2
81.62,83.66,1913,67.4,36.85,71.31,0,0.0249,312.64,215.11,0.816,-0.0269,0.667,0.547,0.82,122.79,0.4783,10.32
76.96,66.56,1841,231.72,41.62,35.66,1,0.0463,424.95,218.67,0.726,-0.0071,0.675,0.526,0.978,53.9,0.4602,19.88
76.32,62.53,1800,158.83,48.9,146.1,0,0.0376,436.5,230.7,-0.159,0.0383,0.515,0.514,0.803,71.23,0.45,16.76
78.36,39.04,2229,71.86,31.79,19.56,1,0.0315,360.25,143.43,0.622,0.0001,0.542,0.637,0.831,37.37,0.5573,8.96
74.38,77.98,2451,70.58,34.52,36.04,0,0.0434,442.39,105.77,1.057,-0.0369,0.741,0.7,0.891,51.86,0.6128,28.7
94.9,10.11,611,158.77,22.79,116.68,0,0.015,318.56,165.8,1.189,-0.0334,0.686,0.175,0.93,93.81,0.1527,23.58
76.71,50.24,1692,108.92,52.83,143.29,1,0.0353,339.97,73.5,-0.405,-0.0472,0.65,0.483,0.886,83.32,0.423,19.85
67.08,61.95,3379,45.18,21.19,141.73,1,0.0435,416.14,227.33,0.914,0.047,0.561,0.965,0.939,59.29,0.8448,7.21
73.51,51.56,3010,123.62,42.25,49.63,0,0.0132,312.33,53.34,0.382,-0.007,0.543,0.86,0.803,25.93,0.7525,15.18
72.05,65.06,2157,216.63,51.66,66.13,0,0.0408,343.87,110.79,1.087,0.026,0.912,0.616,0.82,115.43,0.5393,16.82
65.42,38.32,3493,28.85,23.04,23.54,0,0.0452,370.23,129.76,0.638,-0.0091,0.468,0.998,0.802,82.96,0.8732,1.23
81.93,66.63,1876,231.78,40.59,3.97,0,0.0194,310.73,165.97,1.34,0.001,0.911,0.536,0.833,135.68,0.469,7.16
89.83,30.49,1235,228.96,28.32,123.19,1,0.0142,351.46,162.67,-0.251,0.0405,0.362,0.353,0.85,56.83,0.3088,16.15
74.63,75.98,2228,237.31,51.23,9.83,0,0.0267,338.08,83.11,0.815,0.0236,0.799,0.637,0.888,34.6,0.557,17.37
69.73,37.83,2891,95.0,43.58,118.17,1,0.0373,410.84,11.45,1.337,-0.0377,0.937,0.826,0.965,68.27,0.7228,23.48
63.6,15.85,3440,136.4,52.75,75.35,0,0.0306,324.98,134.9,-0.481,0.0227,0.679,0.983,0.855,96.33,0.86,0.86
68.32,89.68,3485,94.41,38.9,43.2,1,0.0263,397.3,205.94,1.263,0.023,0.864,0.996,0.876,71.73,0.8712,9.45
64.83,58.82,3200,62.16,47.15,80.61,0,0.0421,445.65,62.11,0.835,0.0496,0.769,0.914,0.832,51.51,0.8,8.82
83.89,16.71,2133,117.91,34.58,12.51,1,0.0094,350.48,231.57,0.334,-0.0271,0.453,0.609,0.946,141.11,0.5333,11.12
88.09,29.51,653,198.35,25.85,112.4,0,0.046,352.87,54.4,0.953,-0.032,0.62,0.187,0.838,73.3,0.1633,28.2
97.28,92.38,56,55.59,30.43,109.53,1,0.0244,378.15,124.49,0.007,-0.0063,0.284,0.016,0.87,174.16,0.014,11.69
72.17,96.25,2433,30.84,56.47,84.54,1,0.0225,316.66,54.88,0.404,-0.0395,0.683,0.695,0.857,70.28,0.6082,6.12
72.43,39.86,2499,246.99,50.61,116.77,1,0.0273,443.66,243.76,1.343,0.0002,1.004,0.714,0.854,31.47,0.6248,9.82
92.5,20.77,228,248.4,32.52,44.68,1,0.0404,418.76,84.33,1.443,-0.0182,0.877,0.065,0.8,153.85,0.057,7.73
62.46,51.48,3145,117.63,52.48,21.71,0,0.0486,416.27,60.15,1.491,0.026,1.081,0.899,0.86,102.12,0.7863,1.79
71.88,71.23,3467,114.08,33.23,102.97,0,0.0154,428.67,192.03,1.423,-0.0189,0.876,0.991,0.897,112.7,0.8668,21.68
100.0,72.28,162,37.5,29.96,140.8,1,0.0065,366.62,68.23,0.623,0.008,0.526,0.046,0.926,154.52,0.0405,5.68
90.19,18.37,143,236.3,40.61,47.51,1,0.0474,319.01,79.52,0.984,0.0332,0.768,0.041,0.831,16.72,0.0358,23.51
86.89,58.57,1156,81.64,53.89,132.09,0,0.0055,314.62,136.7,0.963,0.0064,0.883,0.33,0.97,139.46,0.289,23.96
80.99,16.93,1785,56.4,28.42,106.19,0,0.036,385.36,216.59,1.329,-0.029,0.794,0.51,0.824,19.25,0.4463,12.68
61.04,75.63,3412,9.41,62.07,119.3,0,0.0309,358.58,53.13,1.242,-0.0211,1.07,0.975,0.878,80.71,0.853,18.96
79.29,58.58,1707,20.53,48.19,20.92,0,0.0303,376.53,167.05,0.548,0.0056,0.664,0.488,0.988,147.86,0.4268,13.78
89.72,79.35,514,184.88,48.63,144.46,1,0.0246,323.73,123.35,1.03,0.0214,0.861,0.147,0.947,70.28,0.1285,13.45
66.65,24.04,3375,230.58,51.72,28.09,0,0.0196,324.85,132.46,0.68,-0.0098,0.749,0.964,0.861,64.28,0.8438,15.04
64.4,84.78,2971,78.62,58.91,137.53,1,0.0362,361.79,12.8,0.833,-0.004,0.877,0.849,0.86,29.27,0.7428,3.94
83.62,76.41,1460,186.07,39.52,42.62,0,0.0296,357.65,241.6,0.779,0.0032,0.676,0.417,0.858,56.5,0.365,4.73
77.33,94.05,1807,188.11,56.37,143.52,1,0.0236,414.81,213.83,0.268,0.0251,0.628,0.516,0.971,60.22,0.4517,28.53
71.1,84.0,2228,158.27,53.84,10.04,0,0.0396,373.05,246.34,1.345,0.0078,1.035,0.637,0.833,73.02,0.557,27.2
64.57,29.33,3322,27.32,45.78,113.6,0,0.0421,426.23,84.61,0.964,0.0005,0.808,0.949,0.933,112.49,0.8305,2.52
75.75,70.78,1904,83.86,49.0,85.87,1,0.0368,304.3,103.91,0.653,0.0307,0.714,0.544,0.849,160.16,0.476,9.97
86.26,14.69,797,62.48,46.19,49.4,0,0.0322,442.27,224.48,0.015,-0.0422,0.432,0.228,0.812,38.23,0.1993,7.65
73.91,42.83,2142,196.44,56.44,53.22,0,0.0252,411.91,170.46,0.292,0.041,0.638,0.612,0.839,90.07,0.5355,1.69
89.27,80.07,1408,105.46,34.86,7.78,1,0.0103,349.09,34.94,0.753,0.0341,0.623,0.402,0.863,148.48,0.352,1.03
69.48,22.85,2853,174.27,39.37,99.37,0,0.0462,347.38,128.59,0.582,-0.0439,0.596,0.815,0.951,148.13,0.7133,25.07
91.66,94.52,864,119.65,23.53,41.03,0,0.0202,373.76,93.69,0.995,-0.0204,0.615,0.247,0.87,151.55,0.216,12.25
87.57,38.27,422,198.44,42.48,56.72,1,0.047,440.67,111.13,-0.049,-0.0006,0.412,0.121,0.865,32.71,0.1055,1.95
72.86,17.27,2070,72.82,62.53,4.76,1,0.0256,371.31,202.49,0.648,-0.0174,0.836,0.591,0.933,59.52,0.5175,12.23
83.04,98.62,448,197.68,60.18,79.06,0,0.0413,313.66,121.59,0.271,0.0397,0.664,0.128,0.813,32.05,0.112,12.66
90.1,44.1,605,168.73,24.11,96.84,1,0.0374,316.82,145.69,-0.43,-0.0083,0.395,0.173,0.806,77.9,0.1512,13.3
89.89,31.17,847,238.63,33.5,10.34,0,0.029,431.22,31.09,1.095,-0.0078,0.747,0.242,0.822,20.23,0.2117,14.11
71.89,63.75,3087,155.96,42.43,42.59,0,0.0186,323.52,141.66,1.022,0.0438,0.8,0.882,0.846,112.58,0.7718,29.57
98.78,96.44,245,200.39,37.04,130.59,0,0.0081,397.95,143.84,0.789,0.0175,0.658,0.07,0.99,23.03,0.0612,6.44
85.19,91.42,1358,177.11,28.44,35.22,0,0.033,303.42,54.47,-0.137,-0.0135,0.317,0.388,0.883,43.36,0.3395,5.22
67.34,35.66,3052,201.56,57.4,35.42,0,0.0203,347.2,163.84,0.65,0.0215,0.79,0.872,0.845,173.68,0.763,23.54
72.48,53.25,2219,123.35,53.11,100.58,0,0.0361,398.09,106.14,0.318,0.0301,0.617,0.634,0.962,174.48,0.5547,19.32
88.08,32.46,530,242.43,35.78,96.25,0,0.0496,333.27,166.43,1.353,-0.0443,0.871,0.151,0.824,36.67,0.1325,26.39
75.28,33.87,2009,23.96,53.68,127.25,1,0.03,301.81,127.66,1.349,0.0165,1.035,0.574,0.986,72.65,0.5022,28.01
67.41,13.14,3312,210.47,20.47,17.19,1,0.045,326.13,201.95,0.508,0.0285,0.392,0.946,0.969,174.14,0.828,20.69
90.96,94.0,687,132.65,32.07,13.13,0,0.0311,301.83,117.04,0.107,-0.0451,0.339,0.196,0.893,69.62,0.1718,20.88
84.26,48.57,1299,230.01,26.91,73.57,1,0.0415,333.48,199.93,0.166,0.0078,0.315,0.371,0.984,40.32,0.3247,22.48
79.39,70.06,1550,118.16,50.93,146.25,1,0.0299,391.93,93.51,0.527,-0.0189,0.681,0.443,0.85,155.83,0.3875,26.57
65.0,77.31,2850,35.93,54.65,128.6,1,0.0455,427.95,236.15,1.138,0.0229,0.96,0.814,0.932,21.17,0.7125,14.38
83.13,74.16,2312,125.01,28.94,60.44,1,0.0053,388.82,99.38,-0.435,0.0015,0.441,0.661,0.896,64.07,0.578,27.37
75.37,95.83,2487,18.8,40.51,111.64,0,0.0302,346.96,29.15,0.556,-0.0284,0.596,0.711,0.987,17.67,0.6218,5.66
73.9,79.85,2373,24.24,56.22,58.32,1,0.0167,318.56,58.94,0.195,0.0153,0.597,0.678,0.863,71.65,0.5933,14.3
71.36,51.27,2463,196.69,44.41,134.92,1,0.0444,425.76,158.69,0.691,-0.0036,0.686,0.704,0.921,68.93,0.6158,13.1
75.21,45.04,2183,103.14,51.82,146.9,1,0.0245,317.47,130.52,0.419,0.0455,0.646,0.624,0.872,97.51,0.5457,15.21
92.9,83.02,789,55.59,24.82,61.24,1,0.0185,339.96,96.81,-0.438,-0.0454,0.404,0.225,0.972,88.14,0.1973,28.75
84.27,56.47,1115,92.04,30.16,46.04,1,0.0482,329.28,131.94,0.258,0.0369,0.382,0.319,0.945,64.4,0.2787,1.29
62.06,13.46,3452,193.63,60.55,98.36,1,0.0268,329.47,227.42,0.496,0.0382,0.757,0.986,0.9,73.0,0.863,15.43
72.55,69.33,2878,227.97,30.78,10.34,1,0.0356,313.13,54.76,1.177,0.0092,0.755,0.822,0.899,115.91,0.7195,6.72
73.22,73.44,1455,148.27,64.17,143.58,1,0.0445,332.88,168.9,1.467,0.0418,1.179,0.416,0.837,155.73,0.3638,12.37
70.36,83.09,3242,6.28,24.85,14.88,1,0.0321,330.45,158.78,0.173,-0.0194,0.299,0.926,0.907,80.88,0.8105,0.78
79.85,54.32,1905,21.45,26.53,16.55,1,0.0376,302.31,198.14,1.326,0.0031,0.775,0.544,0.87,159.94,0.4763,24.49
68.27,51.32,3180,241.46,55.76,56.43,1,0.0131,301.3,48.8,0.694,-0.0416,0.792,0.909,0.854,139.2,0.795,10.63
81.82,26.44,1355,171.06,49.97,101.27,1,0.0267,448.06,61.58,1.278,0.0233,0.972,0.387,0.829,62.97,0.3387,29.45
82.77,73.42,1006,215.27,64.52,110.02,0,0.0159,411.84,43.86,1.129,-0.0482,1.047,0.287,0.95,137.03,0.2515,29.06
86.33,26.56,749,184.22,41.62,145.37,1,0.0427,378.88,90.77,1.124,-0.0102,0.834,0.214,0.949,62.17,0.1872,19.37
