vehicle_id,timestamp,voltage,current,battery_temperature,ambient_temperature,soc,soh,charge_cycles,charging_status,charging_type,battery_capacity,speed,distance,power,cell_voltage_max,cell_voltage_min,voltage_imbalance,risk_level,fault_code
EV00033,2026-01-01 08:32:00,392.99,166.95,37.24,36.41,87.78,90.48,476,Charging,Fast DC,75,0.0,10443.03,65.61,4.18,4.005,0.175,Low,NONE
EV00034,2026-01-01 08:33:00,394.19,122.64,38.99,39.62,55.94,61.14,1943,Charging,Fast DC,75,0.0,39137.49,48.34,4.194,4.132,0.062,Medium,NONE
EV00035,2026-01-01 08:34:00,391.63,89.53,50.5,26.27,62.59,70.26,1067,Charging,Slow AC,90,0.0,21639.77,35.06,4.057,3.967,0.09,High,OVERHEAT
EV00036,2026-01-01 08:35:00,397.8,149.04,49.04,38.81,75.02,84.31,423,Discharging,None,75,27.0,10985.67,59.29,4.1,4.03,0.07,Medium,NONE
EV00037,2026-01-01 08:36:00,402.72,135.16,35.51,26.19,43.8,83.12,844,Idle,None,75,0.0,20807.09,54.43,4.079,3.953,0.126,Low,NONE
EV00038,2026-01-01 08:37:00,395.69,139.7,31.09,31.38,43.58,65.46,1727,Charging,Slow AC,75,0.0,35441.83,55.28,4.168,4.051,0.117,Medium,NONE
EV00039,2026-01-01 08:38:00,394.83,90.69,48.65,30.22,80.4,53.38,1985,Idle,None,60,0.0,51423.82,35.81,4.093,3.967,0.126,High,BATTERY_DEGRADED
EV00040,2026-01-01 08:39:00,399.29,34.94,58.32,24.7,34.49,51.92,1671,Charging,Fast DC,60,0.0,31004.68,13.95,4.198,4.08,0.118,High,OVERHEAT
EV00041,2026-01-01 08:40:00,401.53,92.87,56.01,31.51,73.24,71.07,806,Discharging,None,75,44.4,20853.39,37.29,4.051,3.911,0.14,High,OVERHEAT
EV00042,2026-01-01 08:41:00,401.55,37.05,39.88,23.52,96.01,78.4,1080,Discharging,None,60,75.74,31330.41,14.88,4.068,4.027,0.041,Medium,NONE
EV00043,2026-01-01 08:42:00,396.97,104.98,44.56,26.35,76.75,77.83,926,Idle,None,90,0.0,26580.13,41.67,4.114,3.949,0.165,Medium,NONE
EV00044,2026-01-01 08:43:00,396.69,45.47,55.15,29.0,76.42,53.08,1740,Idle,None,75,0.0,47310.19,18.04,4.128,4.008,0.12,High,OVERHEAT
EV00045,2026-01-01 08:44:00,394.12,32.4,35.0,25.43,35.37,77.48,1126,Charging,Fast DC,60,0.0,23392.81,12.77,4.154,4.021,0.133,Medium,NONE
EV00046,2026-01-01 08:45:00,390.96,85.22,43.99,28.32,24.65,79.21,880,Discharging,None,90,114.61,16046.26,33.32,4.182,4.07,0.112,Medium,NONE
EV00047,2026-01-01 08:46:00,397.15,170.84,35.45,27.8,89.71,65.38,1731,Discharging,None,90,94.75,42502.26,67.85,4.14,4.085,0.055,Medium,NONE
EV00048,2026-01-01 08:47:00,393.29,89.73,26.02,26.72,69.52,83.04,848,Idle,None,60,0.0,23816.99,35.29,4.188,4.011,0.177,Low,NONE
EV00049,2026-01-01 08:48:00,398.01,165.11,45.72,33.26,12.98,77.48,897,Charging,Slow AC,60,0.0,16687.26,65.72,4.107,4.053,0.054,Medium,NONE
EV00050,2026-01-01 08:49:00,394.9,141.8,38.27,35.04,84.03,89.28,536,Charging,Slow AC,60,0.0,14465.72,56.0,4.058,3.886,0.172,Low,NONE
EV00051,2026-01-01 08:50:00,393.36,30.98,58.5,20.81,7.95,74.68,526,Charging,Fast DC,90,0.0,10429.84,12.19,4.069,3.942,0.127,High,OVERHEAT
EV00052,2026-01-01 08:51:00,398.46,54.87,49.48,35.34,20.94,67.16,1263,Idle,None,90,0.0,24469.86,21.86,4.173,3.999,0.174,Medium,NONE
EV00053,2026-01-01 08:52:00,391.62,24.11,35.92,33.55,96.03,83.36,832,Idle,None,60,0.0,15734.75,9.44,4.154,4.034,0.12,Low,NONE
EV00054,2026-01-01 08:53:00,391.53,143.6,54.76,32.01,16.5,64.61,1179,Charging,Slow AC,90,0.0,27282.69,56.22,4.106,4.005,0.101,High,OVERHEAT
EV00055,2026-01-01 08:54:00,395.12,155.93,53.78,22.11,96.27,62.56,1321,Discharging,None,90,35.3,26570.12,61.61,4.128,4.004,0.124,High,OVERHEAT
EV00056,2026-01-01 08:55:00,399.24,167.14,52.11,29.3,83.44,65.65,1233,Discharging,None,75,105.17,34485.5,66.73,4.063,3.902,0.161,High,OVERHEAT
EV00057,2026-01-01 08:56:00,393.66,94.35,46.36,27.58,7.73,59.67,1762,Discharging,None,60,68.75,39218.42,37.14,4.089,4.024,0.065,High,BATTERY_DEGRADED
EV00058,2026-01-01 08:57:00,398.94,160.82,44.45,30.33,23.15,86.16,514,Idle,None,75,0.0,12265.55,64.16,4.164,4.034,0.13,Medium,NONE
EV00059,2026-01-01 08:58:00,399.69,98.53,52.75,21.86,26.05,61.08,1436,Charging,Slow AC,90,0.0,35869.37,39.38,4.121,4.016,0.105,High,OVERHEAT
EV00060,2026-01-01 08:59:00,396.38,139.35,36.58,34.06,30.74,89.32,534,Charging,Fast DC,90,0.0,10846.08,55.24,4.068,3.962,0.106,Low,NONE
EV00061,2026-01-01 09:00:00,401.43,49.62,32.57,29.68,73.84,68.48,1576,Idle,None,90,0.0,33720.07,19.92,4.065,4.014,0.051,Medium,NONE
EV00062,2026-01-01 09:01:00,393.41,48.71,25.5,30.68,31.06,97.38,131,Idle,None,75,0.0,3454.34,19.16,4.069,3.91,0.159,Low,NONE
EV00063,2026-01-01 09:02:00,397.36,159.64,45.09,29.39,46.84,87.99,397,Charging,Slow AC,75,0.0,7689.51,63.43,4.06,3.961,0.099,Medium,NONE
EV00064,2026-01-01 09:03:00,398.66,129.83,30.31,36.22,95.17,96.12,194,Charging,Fast DC,90,0.0,5271.62,51.76,4.141,3.994,0.147,Low,NONE
EV00065,2026-01-01 09:04:00,393.39,103.61,40.77,28.85,86.72,81.42,898,Discharging,None,90,82.1,22733.38,40.76,4.161,3.989,0.172,Medium,NONE
EV00066,2026-01-01 09:05:00,393.12,53.76,48.11,23.14,21.51,90.05,173,Charging,Fast DC,75,0.0,4049.25,21.13,4.139,4.072,0.067,Medium,NONE
EV00067,2026-01-01 09:06:00,393.47,133.11,49.6,29.08,70.3,54.08,1912,Discharging,None,90,78.98,52860.81,52.37,4.08,4.042,0.038,High,BATTERY_DEGRADED
EV00068,2026-01-01 09:07:00,393.37,43.84,34.3,22.84,10.67,67.14,1643,Discharging,None,90,94.9,40796.49,17.25,4.093,4.053,0.04,Medium,NONE
EV00069,2026-01-01 09:08:00,400.33,131.96,57.99,30.01,51.91,81.93,184,Idle,None,60,0.0,5275.85,52.83,4.16,4.043,0.117,High,OVERHEAT
EV00070,2026-01-01 09:09:00,390.39,56.63,48.6,37.21,60.78,91.88,62,Idle,None,75,0.0,1544.73,22.11,4.164,4.116,0.048,Medium,NONE
EV00071,2026-01-01 09:10:00,397.78,90.76,34.74,39.94,46.41,66.26,1687,Discharging,None,60,67.0,38632.6,36.1,4.098,4.061,0.037,Medium,NONE
EV00072,2026-01-01 09:11:00,392.41,85.86,42.34,33.25,43.04,66.59,1577,Idle,None,60,0.0,36993.13,33.69,4.097,4.025,0.072,Medium,NONE
EV00073,2026-01-01 09:12:00,404.55,84.67,43.01,39.76,67.48,74.97,1131,Discharging,None,75,25.42,27394.26,34.25,4.143,4.043,0.1,Medium,NONE
EV00074,2026-01-01 09:13:00,396.63,28.26,34.35,22.62,32.36,63.54,1823,Idle,None,75,0.0,35470.32,11.21,4.196,4.079,0.117,Medium,NONE
EV00075,2026-01-01 09:14:00,393.59,45.34,44.28,31.05,13.85,61.72,1743,Charging,Slow AC,60,0.0,44921.5,17.85,4.073,3.904,0.169,Medium,NONE
EV00076,2026-01-01 09:15:00,394.38,132.87,39.54,29.65,49.86,80.9,955,Idle,None,60,0.0,21585.9,52.4,4.188,4.087,0.101,Low,NONE
EV00077,2026-01-01 09:16:00,403.19,158.24,34.67,35.8,44.42,61.34,1933,Idle,None,75,0.0,53827.47,63.8,4.092,4.024,0.068,Medium,NONE
EV00078,2026-01-01 09:17:00,398.8,179.82,42.14,22.97,56.17,83.77,726,Discharging,None,90,96.29,16354.25,71.71,4.19,4.031,0.159,Medium,NONE
EV00079,2026-01-01 09:18:00,404.71,58.21,38.4,37.12,44.02,86.58,671,Idle,None,75,0.0,17756.49,23.56,4.172,4.09,0.082,Low,NONE
EV00080,2026-01-01 09:19:00,399.96,151.32,59.33,29.91,8.52,63.58,1048,Idle,None,75,0.0,29801.35,60.52,4.181,4.091,0.09,High,OVERHEAT
EV00081,2026-01-01 09:20:00,397.89,93.11,50.29,28.2,67.2,85.05,336,Charging,Slow AC,75,0.0,7413.08,37.05,4.154,4.03,0.124,High,OVERHEAT
EV00082,2026-01-01 09:21:00,402.78,156.37,55.08,27.6,35.08,58.12,1491,Discharging,None,90,23.59,28062.18,62.98,4.145,3.978,0.167,High,OVERHEAT
EV00083,2026-01-01 09:22:00,404.96,139.48,40.19,21.97,65.21,63.71,1807,Charging,Slow AC,60,0.0,47574.72,56.48,4.186,4.159,0.027,Medium,NONE
EV00084,2026-01-01 09:23:00,401.94,66.94,38.12,22.91,55.46,76.42,1179,Idle,None,60,0.0,23626.93,26.91,4.062,3.903,0.159,Medium,NONE
EV00085,2026-01-01 09:24:00,399.3,58.53,56.95,22.86,48.81,75.64,540,Discharging,None,75,86.68,15544.93,23.37,4.12,4.054,0.066,High,OVERHEAT
EV00086,2026-01-01 09:25:00,398.2,31.82,58.08,39.75,33.42,45.74,1990,Discharging,None,90,45.01,56005.86,12.67,4.08,3.998,0.082,High,OVERHEAT
EV00087,2026-01-01 09:26:00,397.25,57.95,45.02,31.5,99.31,83.5,624,Charging,Slow AC,75,0.0,11292.64,23.02,4.18,4.035,0.145,Medium,NONE
EV00088,2026-01-01 09:27:00,404.6,165.7,51.08,36.66,90.78,58.98,1608,Charging,Slow AC,60,0.0,41228.18,67.04,4.143,4.015,0.128,High,OVERHEAT
EV00089,2026-01-01 09:28:00,400.81,125.47,54.34,32.56,90.82,61.67,1343,Charging,Slow AC,75,0.0,24711.7,50.29,4.105,4.064,0.041,High,OVERHEAT
EV00090,2026-01-01 09:29:00,403.64,72.28,39.54,24.02,79.72,63.72,1814,Discharging,None,90,70.18,38584.38,29.18,4.075,3.909,0.166,Medium,NONE
EV00091,2026-01-01 09:30:00,404.16,174.78,35.33,37.41,81.4,80.42,979,Charging,Fast DC,60,0.0,27726.93,70.64,4.159,3.982,0.177,Low,NONE
EV00092,2026-01-01 09:31:00,404.51,148.73,37.8,35.81,6.32,77.64,1118,Charging,Slow AC,75,0.0,29150.67,60.16,4.151,4.037,0.114,Medium,NONE
EV00093,2026-01-01 09:32:00,402.34,170.45,28.79,24.68,7.38,63.4,1830,Idle,None,75,0.0,53039.02,68.58,4.083,4.053,0.03,Medium,NONE
EV00094,2026-01-01 09:33:00,402.36,165.5,35.58,28.17,18.28,60.86,1957,Charging,Slow AC,75,0.0,37952.97,66.59,4.085,3.979,0.106,Medium,NONE
EV00095,2026-01-01 09:34:00,395.83,79.36,58.23,33.93,56.32,60.98,1222,Idle,None,90,0.0,24261.92,31.41,4.112,4.076,0.036,High,OVERHEAT
EV00096,2026-01-01 09:35:00,397.34,85.3,58.3,20.65,40.2,66.8,928,Discharging,None,60,105.55,17810.41,33.89,4.153,4.046,0.107,High,OVERHEAT
EV00097,2026-01-01 09:36:00,404.67,77.39,38.93,23.8,16.61,64.88,1756,Discharging,None,60,86.28,45130.0,31.32,4.14,4.117,0.023,Medium,NONE
EV00098,2026-01-01 09:37:00,401.8,58.97,29.41,31.29,11.52,68.26,1587,Idle,None,60,0.0,39733.08,23.69,4.172,4.115,0.057,Medium,NONE
EV00099,2026-01-01 09:38:00,401.62,146.18,45.86,25.55,98.48,89.59,286,Idle,None,75,0.0,7888.5,58.71,4.066,3.907,0.159,Medium,NONE
EV00100,2026-01-01 09:39:00,391.98,77.32,52.6,31.78,6.5,78.66,563,Charging,Fast DC,90,0.0,12978.01,30.31,4.067,4.037,0.03,High,OVERHEAT
EV00101,2026-01-01 09:40:00,396.72,77.93,45.78,29.04,26.05,69.8,1279,Charging,Slow AC,75,0.0,32895.99,30.92,4.055,3.875,0.18,Medium,NONE
EV00102,2026-01-01 09:41:00,402.71,88.2,28.78,34.25,47.14,62.78,1861,Charging,Slow AC,90,0.0,36810.59,35.52,4.069,3.949,0.12,Medium,NONE
EV00103,2026-01-01 09:42:00,398.78,133.94,38.33,31.95,33.02,78.9,1055,Idle,None,75,0.0,20245.6,53.41,4.155,3.999,0.156,Medium,NONE
EV00104,2026-01-01 09:43:00,399.76,143.03,50.23,24.3,47.9,82.08,487,Discharging,None,75,102.74,11096.18,57.18,4.159,4.089,0.07,High,OVERHEAT
EV00105,2026-01-01 09:44:00,394.69,60.78,58.38,33.74,50.06,81.18,206,Charging,Fast DC,75,0.0,3946.71,23.99,4.161,4.011,0.15,High,OVERHEAT
EV00106,2026-01-01 09:45:00,398.35,113.83,44.66,26.59,16.61,81.39,744,Idle,None,75,0.0,21142.33,45.34,4.158,3.983,0.175,Medium,NONE
EV00107,2026-01-01 09:46:00,399.01,76.26,45.23,24.25,67.39,86.24,479,Charging,Slow AC,90,0.0,10734.74,30.43,4.164,4.052,0.112,Medium,NONE
EV00108,2026-01-01 09:47:00,402.11,155.22,59.11,36.37,63.29,57.99,1336,Idle,None,60,0.0,33811.41,62.42,4.149,4.018,0.131,High,OVERHEAT
EV00109,2026-01-01 09:48:00,390.43,63.72,51.68,38.43,38.35,82.84,391,Charging,Slow AC,60,0.0,7703.68,24.88,4.145,4.12,0.025,High,OVERHEAT
EV00110,2026-01-01 09:49:00,401.19,54.42,39.69,26.82,40.16,70.06,1497,Discharging,None,90,79.62,42814.36,21.83,4.073,3.932,0.141,Medium,NONE
EV00111,2026-01-01 09:50:00,390.75,33.05,40.51,28.48,62.67,82.23,868,Discharging,None,60,95.49,16809.52,12.91,4.114,4.049,0.065,Medium,NONE
EV00112,2026-01-01 09:51:00,400.18,97.86,48.35,20.91,42.55,68.38,1247,Charging,Fast DC,60,0.0,26956.44,39.16,4.082,4.04,0.042,Medium,NONE
EV00113,2026-01-01 09:52:00,393.83,72.5,25.27,34.94,21.69,84.04,798,Idle,None,90,0.0,16567.54,28.55,4.134,4.007,0.127,Low,NONE
EV00114,2026-01-01 09:53:00,395.31,83.53,50.97,28.72,48.68,87.64,179,Discharging,None,90,62.93,4090.7,33.02,4.146,4.08,0.066,High,OVERHEAT
EV00115,2026-01-01 09:54:00,396.08,174.59,31.02,38.95,48.71,71.36,1432,Discharging,None,60,63.67,27595.15,69.15,4.115,4.031,0.084,Medium,NONE
EV00116,2026-01-01 09:55:00,391.18,159.28,51.1,24.43,79.02,87.6,176,Idle,None,90,0.0,3408.82,62.31,4.126,3.961,0.165,High,OVERHEAT
EV00117,2026-01-01 09:56:00,395.24,136.38,53.66,36.3,27.45,82.69,319,Discharging,None,60,37.35,6327.19,53.9,4.164,4.132,0.032,High,OVERHEAT
EV00118,2026-01-01 09:57:00,404.27,120.47,41.24,31.27,60.05,70.73,1414,Idle,None,90,0.0,36231.74,48.7,4.144,3.986,0.158,Medium,NONE
EV00119,2026-01-01 09:58:00,399.41,44.15,27.39,28.84,33.77,88.36,582,Idle,None,60,0.0,12933.96,17.63,4.061,3.967,0.094,Low,NONE
EV00120,2026-01-01 09:59:00,390.56,79.0,35.05,32.89,97.85,95.92,204,Idle,None,90,0.0,4913.3,30.85,4.119,4.01,0.109,Low,NONE
EV00121,2026-01-01 10:00:00,401.88,163.34,40.74,36.2,66.92,85.85,678,Idle,None,75,0.0,16283.12,65.64,4.194,4.102,0.092,Medium,NONE
EV00122,2026-01-01 10:01:00,402.16,153.98,59.38,21.69,66.38,82.5,100,Charging,Slow AC,75,0.0,2428.88,61.92,4.141,4.063,0.078,High,OVERHEAT
EV00123,2026-01-01 10:02:00,403.77,81.99,52.11,33.58,9.97,64.07,1312,Idle,None,75,0.0,24653.72,33.11,4.064,3.935,0.129,High,OVERHEAT
EV00124,2026-01-01 10:03:00,394.26,135.8,47.98,38.13,87.96,79.58,702,Charging,Fast DC,75,0.0,15249.39,53.54,4.148,4.022,0.126,Medium,NONE
EV00125,2026-01-01 10:04:00,391.93,133.41,27.97,31.18,66.13,86.16,692,Charging,Fast DC,90,0.0,18023.47,52.29,4.126,4.103,0.023,Low,NONE
EV00126,2026-01-01 10:05:00,394.63,172.19,36.96,35.32,23.24,93.98,301,Charging,Fast DC,75,0.0,8468.08,67.95,4.065,3.922,0.143,Low,NONE
EV00127,2026-01-01 10:06:00,402.53,161.39,26.32,26.74,77.8,94.24,288,Idle,None,75,0.0,5717.1,64.96,4.077,3.946,0.131,Low,NONE
EV00128,2026-01-01 10:07:00,399.37,164.42,50.24,20.87,39.61,61.95,1493,Charging,Slow AC,90,0.0,31978.77,65.66,4.162,4.07,0.092,High,OVERHEAT
EV00129,2026-01-01 10:08:00,398.01,69.51,53.3,29.38,84.34,73.9,773,Idle,None,90,0.0,23045.66,27.67,4.119,4.054,0.065,High,OVERHEAT
EV00130,2026-01-01 10:09:00,395.73,104.39,58.82,36.34,81.12,78.88,303,Discharging,None,60,84.12,8632.29,41.31,4.133,4.097,0.036,High,OVERHEAT
EV00131,2026-01-01 10:10:00,402.69,156.19,34.98,35.26,30.92,62.52,1874,Idle,None,60,0.0,52420.58,62.9,4.064,3.898,0.166,Medium,NONE
EV00132,2026-01-01 10:11:00,402.25,161.54,57.57,28.3,42.66,70.24,785,Charging,Slow AC,60,0.0,17661.68,64.98,4.054,3.885,0.169,High,OVERHEAT
EV00133,2026-01-01 10:12:00,402.59,123.99,52.7,22.75,32.25,55.46,1719,Discharging,None,90,103.11,46595.38,49.92,4.12,4.002,0.118,High,OVERHEAT
EV00134,2026-01-01 10:13:00,403.59,23.04,32.55,22.99,94.32,74.68,1266,Idle,None,75,0.0,24477.15,9.3,4.093,4.025,0.068,Medium,NONE
EV00135,2026-01-01 10:14:00,390.72,87.17,52.79,29.14,15.53,52.31,1873,Discharging,None,90,73.61,47917.82,34.06,4.136,4.001,0.135,High,OVERHEAT
EV00136,2026-01-01 10:15:00,394.37,20.25,37.35,31.41,22.79,72.24,1388,Charging,Slow AC,60,0.0,40863.89,7.99,4.132,3.986,0.146,Medium,NONE
EV00137,2026-01-01 10:16:00,397.61,23.25,55.57,20.87,41.75,71.86,784,Discharging,None,90,21.62,21530.4,9.24,4.102,3.965,0.137,High,OVERHEAT
EV00138,2026-01-01 10:17:00,399.42,143.44,50.73,26.65,9.21,68.66,1138,Discharging,None,90,37.51,31123.97,57.29,4.12,3.989,0.131,High,OVERHEAT
EV00139,2026-01-01 10:18:00,399.48,149.84,27.21,35.52,48.48,87.6,620,Charging,Fast DC,60,0.0,17750.28,59.86,4.097,4.027,0.07,Low,NONE
EV00140,2026-01-01 10:19:00,395.97,150.46,41.57,20.73,66.46,86.64,605,Discharging,None,60,106.58,13299.77,59.58,4.069,3.99,0.079,Medium,NONE
EV00141,2026-01-01 10:20:00,403.34,138.93,56.31,27.73,97.5,66.23,1036,Idle,None,75,0.0,23214.86,56.04,4.17,4.107,0.063,High,OVERHEAT
EV00142,2026-01-01 10:21:00,391.24,87.92,40.07,39.9,22.14,87.52,621,Discharging,None,60,28.01,16103.17,34.4,4.096,3.98,0.116,Medium,NONE
EV00143,2026-01-01 10:22:00,396.39,130.36,37.3,20.85,87.65,85.16,742,Idle,None,75,0.0,15800.64,51.67,4.197,4.025,0.172,Low,NONE
EV00144,2026-01-01 10:23:00,391.13,122.0,37.72,36.02,69.54,60.58,1971,Charging,Fast DC,90,0.0,51516.16,47.72,4.116,4.076,0.04,Medium,NONE
EV00145,2026-01-01 10:24:00,393.54,123.23,37.68,38.99,8.08,93.32,334,Idle,None,75,0.0,9814.88,48.5,4.106,3.964,0.142,Low,NONE
EV00146,2026-01-01 10:25:00,398.61,104.71,38.93,32.99,28.71,94.96,252,Charging,Fast DC,75,0.0,6101.66,41.74,4.187,4.148,0.039,Low,NONE
EV00147,2026-01-01 10:26:00,401.62,132.65,32.51,32.24,70.93,79.5,1025,Charging,Fast DC,60,0.0,28939.76,53.27,4.118,3.954,0.164,Medium,NONE
EV00148,2026-01-01 10:27:00,396.68,34.05,48.87,36.91,35.36,78.28,731,Idle,None,60,0.0,17982.57,13.51,4.094,4.026,0.068,Medium,NONE
EV00149,2026-01-01 10:28:00,392.36,133.53,49.51,23.48,39.34,82.81,479,Charging,Fast DC,60,0.0,9982.76,52.39,4.124,4.046,0.078,Medium,NONE
EV00150,2026-01-01 10:29:00,398.58,94.78,59.41,22.6,89.0,81.39,154,Discharging,None,75,119.96,4100.47,37.78,4.129,3.986,0.143,High,OVERHEAT
EV00151,2026-01-01 10:30:00,402.35,31.8,59.03,32.85,47.75,56.54,1412,Idle,None,75,0.0,27590.5,12.79,4.174,4.066,0.108,High,OVERHEAT
EV00152,2026-01-01 10:31:00,398.82,142.85,29.52,30.06,87.48,65.56,1722,Charging,Fast DC,75,0.0,34398.47,56.97,4.098,3.965,0.133,Medium,NONE
EV00153,2026-01-01 10:32:00,395.19,170.54,56.32,36.92,28.81,60.54,1320,Idle,None,75,0.0,25742.7,67.4,4.095,3.99,0.105,High,OVERHEAT
EV00154,2026-01-01 10:33:00,397.54,46.98,57.96,23.08,67.58,55.73,1495,Idle,None,75,0.0,42024.99,18.68,4.135,3.983,0.152,High,OVERHEAT
EV00155,2026-01-01 10:34:00,390.43,27.27,47.45,31.54,66.86,62.24,1590,Idle,None,75,0.0,40413.51,10.65,4.055,3.893,0.162,Medium,NONE
EV00156,2026-01-01 10:35:00,398.18,122.71,35.57,24.9,81.7,82.98,851,Discharging,None,75,27.3,15929.83,48.86,4.116,4.019,0.097,Low,NONE
